source_stop_id,target_stop_id,weight,mode,line,route_short_name,route_long_name,transfer,distance_meters,estimated_time_min,data_source
LTFRB_482,LTFRB_481,2.61,jeep,LTFRB_PUJ2270,,TALA NOVALICHES via QUIRINO AVENUE,False,333.58,2.61,gtfs
LTFRB_482,LTFRB_483,2.22,jeep,LTFRB_PUJ1500,,Novaliches - Tala via Quirino,False,215.05,2.22,gtfs
LTFRB_4820,LTFRB_118,5.03,jeep,LTFRB_PUJ2346,,Malolos BBB (Val) via MacArthur Highway,False,1058.43,5.03,gtfs
LTFRB_4821,LTFRB_4820,12.29,jeep,LTFRB_PUJ2346,,Malolos BBB (Val) via MacArthur Highway,False,3237.75,12.29,gtfs
LTFRB_4822,LTFRB_4823,2.6,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,329.44,2.6,gtfs
LTFRB_4822,LTFRB_909,2.26,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,228.73,2.26,gtfs
LTFRB_4823,LTFRB_4822,2.6,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,329.44,2.6,gtfs
LTFRB_4823,LTFRB_4824,2.41,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,272.17,2.41,gtfs
LTFRB_4824,LTFRB_4823,2.41,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,272.17,2.41,gtfs
LTFRB_4824,LTFRB_4825,2.36,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,259.14,2.36,gtfs
LTFRB_4825,LTFRB_4824,2.36,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,259.14,2.36,gtfs
LTFRB_4825,LTFRB_4826,2.28,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,233.51,2.28,gtfs
LTFRB_4826,LTFRB_4825,2.28,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,233.51,2.28,gtfs
LTFRB_4826,LTFRB_4827,2.53,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,309.38,2.53,gtfs
LTFRB_4827,LTFRB_4826,2.53,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,309.38,2.53,gtfs
LTFRB_4827,LTFRB_4828,2.64,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,341.24,2.64,gtfs
LTFRB_4828,LTFRB_4827,2.64,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,341.24,2.64,gtfs
LTFRB_4828,LTFRB_4829,2.62,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,334.66,2.62,gtfs
LTFRB_4829,LTFRB_4828,2.62,jeep,LTFRB_PUJ2352,,Montalban Wawa,False,334.66,2.62,gtfs
LTFRB_4829,LTFRB_4830,2.36,jeep,LTFRB_PUJ2351,,Montalban Wawa,False,259.14,2.36,gtfs
LTFRB_483,LTFRB_482,2.22,jeep,LTFRB_PUJ2270,,TALA NOVALICHES via QUIRINO AVENUE,False,215.05,2.22,gtfs
